pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable,component_ids_detected,component_names_detected
Boticas Peru,Vitamina E 400 Mg Vitavital Capsulas Blandas Frasco 60 Un,Vitamina E 400 Mg Vitavital Capsulas Blandas Frasco 60 Un,,24.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_mg_vitavital_capsulas_blandas_-_frasco_60_un/46486.html,46486,,sfcc_search_update_grid,2026-06-08T01:13:20.353997+00:00,,Precio rebajado de S/ 24.90 a S/ 19.90 -20% Vitamina E 400 Mg VitaVital Cápsulas Blandas - Frasco 60 UN,,false_no_registro_sanitario,,
Boticas Peru,Vitamina B 12 1000Mcg Caja 100 Un,Vitamina B 12 1000Mcg Caja 100 Un,,99.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b-12_1000mcg__-_caja_100_un/28804.html,28804,,sfcc_search_update_grid,2026-06-08T01:13:20.355600+00:00,,S/ 99.90 Vitamina B-12 1000MCG - Caja 100 UN,,false_no_registro_sanitario,,
Boticas Peru,Redoxitos Total Gomitas Con Vitaminas Caja 10 Un,Redoxitos Total Gomitas Con Vitaminas Caja 10 Un,,33.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/redoxitos_total_gomitas_con_vitaminas_-_caja_10_un/34505.html,34505,,sfcc_search_update_grid,2026-06-08T01:13:20.359598+00:00,,S/ 33.00 Redoxitos Total Gomitas Con Vitaminas - Caja 10 UN,,false_no_registro_sanitario,,
Boticas Peru,Vitamina A 10000 I.U Capsulas Frasco 100 Un,Vitamina A 10000 I.U Capsulas Frasco 100 Un,,47.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_a/vitamina_a-10000_i.u_capsulas_-_frasco_100_un/09027.html,09027,,sfcc_search_update_grid,2026-06-08T01:13:20.360402+00:00,,S/ 47.00 Vitamina A-10000 I.U Cápsulas - Frasco 100 UN,,false_no_registro_sanitario,,
Boticas Peru,Buk Cito Con Vitamina C Sobre 1 Un,Buk Cito Con Vitamina C Sobre 1 Un,,0.80,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/buk-cito_con_vitamina_c_-_sobre_1_un/25480.html,25480,,sfcc_search_update_grid,2026-06-08T01:13:20.364195+00:00,,S/ 0.80 Buk-Cito Con Vitamina C - Sobre 1 UN,,false_no_registro_sanitario,,
Boticas Peru,Vitamina C 1000 Mg Tabletas Frasco 100 Un,Vitamina C 1000 Mg Tabletas Frasco 100 Un,,83.99,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/vitamina_c_1000_mg_tabletas_-_frasco_100_un/03639.html,03639,,sfcc_search_update_grid,2026-06-08T01:13:20.364949+00:00,,S/ 83.99 Vitamina C 1000 Mg Tabletas - Frasco 100 UN,,false_no_registro_sanitario,,
Boticas Peru,Vitamina E 1000 I.U Capsulas Frasco 50 Un,Vitamina E 1000 I.U Capsulas Frasco 50 Un,,98.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_1000_i.u_capsulas_-_frasco_50_un/01966.html,01966,,sfcc_search_update_grid,2026-06-08T01:13:20.365720+00:00,,S/ 98.00 Vitamina E 1000 I.U Cápsulas - Frasco 50 UN,,false_no_registro_sanitario,,
Boticas Peru,Vitamina E 400 I.U Capsulas Frasco 100 Un,Vitamina E 400 I.U Capsulas Frasco 100 Un,,91.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_i.u_capsulas_-_frasco_100_un/01967.html,01967,,sfcc_search_update_grid,2026-06-08T01:13:20.366488+00:00,,S/ 91.50 Vitamina E 400 I.U Cápsulas - Frasco 100 UN,,false_no_registro_sanitario,,
Boticas Peru,Vitamina E 400 I.U Capsulas Frasco 30 Un,Vitamina E 400 I.U Capsulas Frasco 30 Un,,42.20,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_i.u_capsulas_-_frasco_30_un/38847.html,38847,,sfcc_search_update_grid,2026-06-08T01:13:20.368000+00:00,,S/ 42.20 Vitamina E 400 I.U Cápsulas - Frasco 30 UN,,false_no_registro_sanitario,,
Boticas Peru,Perlas Con Aceite De Onagra %2B Vitamina E Pote 80 Un,Perlas Con Aceite De Onagra %2B Vitamina E Pote 80 Un,,83.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/perlas_con_aceite_de_onagra_%2B_vitamina_e_-_pote_80_un/47434.html,47434,,sfcc_search_update_grid,2026-06-08T01:13:20.368786+00:00,,S/ 83.90 Perlas con Aceite de Onagra + Vitamina E - Pote 80 UN,,false_no_registro_sanitario,,
Boticas Peru,Vitamina E 1000 Iu Capsulas Blandas Frasco 60 Un,Vitamina E 1000 Iu Capsulas Blandas Frasco 60 Un,,89.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_1000_iu_capsulas_blandas_-_frasco_60_un/38588.html,38588,,sfcc_search_update_grid,2026-06-08T01:13:20.701644+00:00,,S/ 89.90 Vitamina E 1000 IU Cápsulas Blandas - Frasco 60 UN,,false_no_registro_sanitario,,
Boticas Peru,Eddad Vitamina E 400Ui Capsulas Blandas Caja 30 Un,Eddad Vitamina E 400Ui Capsulas Blandas Caja 30 Un,,51.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/eddad_vitamina_e_400ui_capsulas_blandas_-_caja_30_un/46882.html,46882,,sfcc_search_update_grid,2026-06-08T01:13:20.704308+00:00,,S/ 51.90 Eddad Vitamina E 400ui Cápsulas Blandas - Caja 30 UN,,false_no_registro_sanitario,,
