pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Hogar y Salud,VitaminaD3 1000UI Tubo X 20 Tab Efervescentes,VitaminaD3 1000UI Tubo X 20 Tab Efervescentes,,16.90,PEN,available,https://www.hogarysalud.com.pe/producto/vitaminad3-1000ui-tubo-x-20-tab-efervescentes/,00217906,,woocommerce_store_api,2026-06-08T00:47:21.425342+00:00,,VitaminaD3 1000UI Tubo X 20 Tab Efervescentes TUBO 20 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),,false_no_registro_sanitario
Hogar y Salud,Vitamina E 400UI Cápsulas Blandas,Vitamina E 400UI Cápsulas Blandas,E-400UI,15.00,PEN,available,https://www.hogarysalud.com.pe/producto/vitamina-e-400ui-capsulas-blandas/,00214688,,woocommerce_store_api,2026-06-08T00:47:21.425436+00:00,,Vitamina E 400UI Cápsulas Blandas CAJA 30 UN / 1 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),description_regex,false_no_component_match
Hogar y Salud,Crema para Peinar Savital Multivitaminas – Frasco 275 ML,Crema para Peinar Savital Multivitaminas – Frasco 275 ML,,10.50,PEN,available,https://www.hogarysalud.com.pe/producto/crema-para-peinar-savital-multivitaminas-frasco-275-ml/,00210764,,woocommerce_store_api,2026-06-08T00:47:21.425714+00:00,,Crema para Peinar Savital Multivitaminas – Frasco 275 ML FRASCO 275 ML Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),,false_no_registro_sanitario
Hogar y Salud,Pack 02 Tabletas Efervescentes Multi Vitaminas + Minerales Tabletas Efervescentes – Tubo 20 UN,Pack 02 Tabletas Efervescentes Multi Vitaminas + Minerales Tabletas Efervescentes – Tubo 20 UN,,30.40,PEN,available,https://www.hogarysalud.com.pe/producto/pack-02-german-energy-multi-vitaminas-minerales-tabletas-efervescentes-tubo-20-un/,00216361,,woocommerce_store_api,2026-06-08T00:47:21.425974+00:00,,Pack 02 Tabletas Efervescentes Multi Vitaminas + Minerales Tabletas Efervescentes – Tubo 20 UN DUOPACK Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),,false_no_registro_sanitario
Hogar y Salud,German Energy Multi Vitaminas + Minerales Tabletas Efervescentes – Tubo 20 UN,German Energy Multi Vitaminas + Minerales Tabletas Efervescentes – Tubo 20 UN,,15.20,PEN,available,https://www.hogarysalud.com.pe/producto/german-energy-multi-vitaminas-minerales-tabletas-efervescentes-tubo-20-un/,00216240,,woocommerce_store_api,2026-06-08T00:47:21.426235+00:00,,German Energy Multi Vitaminas + Minerales Tabletas Efervescentes – Tubo 20 UN TUBO 20 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),,false_no_registro_sanitario
Hogar y Salud,Acondicionador SAVITAL con Multivitaminas y Sábila – Frasco 490ml,Acondicionador SAVITAL con Multivitaminas y Sábila – Frasco 490ml,,10.90,PEN,available,https://www.hogarysalud.com.pe/producto/acondicionador-savital-con-multivitaminas-y-sabila-frasco-490ml/,00213833,,woocommerce_store_api,2026-06-08T00:47:21.426730+00:00,,"Acondicionador SAVITAL con Multivitaminas y Sábila – Frasco 490ml FRASCO 490 ML Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033) Hidratación y cuidado capilar con Savital Acondicionador Multivitaminas y sábila Nutre tu cabello desde la raíz hasta las puntas dejándolo suave, Brillante y saludable. Cuidado del cabello.",,false_no_registro_sanitario
Hogar y Salud,Serum Vitamina C Isdinceutics Flavo – C Forte – Caja 3 Un,Serum Vitamina C Isdinceutics Flavo – C Forte – Caja 3 Un,,299.90,PEN,available,https://www.hogarysalud.com.pe/producto/serum-isdin-isdinceutics-flavo-c-forte-caja-3-un/,00214002,,woocommerce_store_api,2026-06-08T00:47:21.426943+00:00,,"Serum Vitamina C Isdinceutics Flavo – C Forte – Caja 3 Un CAJA 3 UN Comercializado por Corporation Intherpharma S.A.C. RUC: 20515774182 (Ley 32033) Revitaliza e Ilumina tu Piel con el Sérum ISDIN ISDINCEUTICS Flavo – C Forte. Potente Sérum Facial Flavo-C Forte, revela una piel más radiante e iluminada desde el primer momento. Mejora la firmeza de la piel y suaviza visiblemente las arrugas. Presentación en Caja x 3 frascos de 5,3 ml.",,false_no_registro_sanitario
Hogar y Salud,Sérum Vitamina C Isdinceutics Flavo-C – Frasco 30 ML,Sérum Vitamina C Isdinceutics Flavo-C – Frasco 30 ML,,167.90,PEN,available,https://www.hogarysalud.com.pe/producto/serum-flavo-c-isdin-frasco-30-ml/,00213992,,woocommerce_store_api,2026-06-08T00:47:21.427159+00:00,,"Sérum Vitamina C Isdinceutics Flavo-C – Frasco 30 ML FRASCO 30 ML Comercializado por Corporation Intherpharma S.A.C. RUC: 20515774182 (Ley 32033) Serum facial antioxidante. Combinación de antioxidantes que suavizan los signos producidos por el foto envejecimiento. La alta concentración de vitamina C neutraliza los radicales libres, proporciona una protección contra los efectos de la radiación. Isdinceutics Flavo-C mejora la luminosidad de la piel, promueve la recuperación de la elasticidad, aportando una mayor hidratación y un aspecto visiblemente más joven.",,false_no_registro_sanitario
Hogar y Salud,Lipstick Vitamina E SPF30 Portugal – Tubo 5 G,Lipstick Vitamina E SPF30 Portugal – Tubo 5 G,,10.10,PEN,available,https://www.hogarysalud.com.pe/producto/lipstick-vitamina-e-spf30-portugal-tubo-5-g/,00206485,,woocommerce_store_api,2026-06-08T00:47:21.427279+00:00,,Lipstick Vitamina E SPF30 Portugal – Tubo 5 G TUBO 5 G Lipstick frutas para labios resecos con vitamina E y filtro solar.,,false_no_registro_sanitario
Hogar y Salud,Shampoo Sedal Hialurónico y Vitamina A – Frasco 340 ML,Shampoo Sedal Hialurónico y Vitamina A – Frasco 340 ML,,10.90,PEN,available,https://www.hogarysalud.com.pe/producto/shampoo-sedal-hialuronico-y-vitamina-a-frasco-340-ml/,00209243,,woocommerce_store_api,2026-06-08T00:47:21.427421+00:00,,"Shampoo Sedal Hialurónico y Vitamina A – Frasco 340 ML FRASCO 340 ML Limpieza y cuidado capilar con Sedal Shampoo hialuronico y vit A Fortalece dándole cuerpo, vitalidad a tu cabello mejorando el brillo y suavidad. Para cabellos maltratados y/o dañados.",,false_no_registro_sanitario
